52.49111,-2.4388, Glazeley - St Bartholomew,blue
52.8985,-3.04008, Gobowen - All Saints,blue
52.78845,-2.52419, Great Bolas - St John the Baptist,blue
52.76523,-2.89391, Great Ness - St Andrew,blue
52.70419,-2.99432, Great Wollaston - St John,blue
52.33441,-2.62191, Greete - St James,blue
52.80646,-2.71309, Grinshill - All Saints,blue
52.62658,-2.8896, Habberley - St Mary,blue
52.7042,-2.48025, Hadley - Holy Trinity,blue
52.77591,-2.71011, Hadnall - St Mary Magdalene,blue
52.44496,-2.83069, Halford - St Thomas,blue
52.87505,-2.98375, Halston Chapel,blue
52.68131,-2.82437, Hanwood - St Thomas,blue
52.60942,-2.59756, Harley - St Mary,blue
52.73177,-2.68016, Haughmond Abbey,blue
52.83675,-2.93311, Haughton - St Chad,blue
52.46672,-2.65301, Heath Chapel,blue
52.75198,-2.60263, High Ercall - St Michael,blue
52.44737,-2.38094, Highley - St Mary,blue
52.85356,-2.57653, Hodnet - St Luke,green
52.50225,-2.64762, Holdgate - Holy Trinity,blue
52.6072,-2.97455, Hope - Holy Trinity,blue
52.36302,-2.60533, Hope Bagot - St John the Baptist,green
52.52762,-2.77421, Hope Bowdler - St Andrew,blue
52.44415,-2.89997, Hopesay - St Mary,blue
52.39838,-2.93708, Hopton Castle - St Edward,blue
52.38565,-2.53416, Hopton Wafers - St Michael,blue
52.87132,-2.92072, Hordley - St Mary,blue
52.57743,-2.64382, Hughley - St John the Baptist,blue
52.94382,-2.60801, Ightfield - St John the Baptist,green
52.62844,-2.48519, Ironbridge - St Luke,green
52.62342,-2.46318, Jackfield - St Mary,blue
52.63757,-2.40145, Kemberton - St Andrew and St John the Baptist,blue
52.60295,-2.64732, Kenley - St John the Baptist,blue
52.69129,-2.47071, Ketley - St Mary the Virgin,blue
52.42613,-2.4268, KInlet - St John the Baptist,blue
52.78198,-2.98254, Kinnerley - St Mary,green
52.79437,-2.98919, Knockin - St Mary,blue
52.37364,-2.63044, Knowbury - St Paul,green
52.74684,-2.48623, Kynnersley - St Chad,blue
52.59672,-2.68305, Langley Chapel,blue
52.67498,-2.49403, Lawley - St John the Evangelist,blue
52.66869,-2.85375, Lea Cross - St Anne,blue
52.75988,-2.78741, Leaton - Holy Trinity,blue
52.84028,-2.67564, Lee Brockhurst - St Peter,blue
52.58314,-2.78242, Leebotwood - St Mary,blue
52.64238,-2.5737, Leighton - St Mary,blue
52.73401,-2.40379, Lilleshall - St Michael and All Angels,blue
52.72584,-2.39016, Lilleshall Abbey,blue
52.58302,-2.46545, Linley - St Leonard,blue
52.72847,-2.78139, Little Berwick Chapel,blue
52.89876,-2.50166, Little Drayton - Christ Church,blue
52.77329,-2.87968, Little Ness - St Martin,blue
52.52196,-2.82143, Little Stretton - All Saints,green
52.65804,-2.52334, Little Wenlock - St Lawrence,blue
52.37941,-3.11758, Llanfair Waterdine - St Mary,blue
52.79807,-3.12966, Llanyblodwel - St Michael the Archangel,green
52.77964,-3.08753, Llanymynech - St Agatha,blue
52.65212,-2.82723, Longden - St Ruthen,green
52.76251,-2.40775, Longford - Talbot Chapel,blue
52.59965,-2.75677, Longnor - St Mary,blue
52.73538,-2.56009, Longon on Tern - St Bartholomew,blue
52.85818,-2.78592, Loppington - St Michael and All Angels,blue
52.44376,-2.56704, Loughton Chapel,blue
52.36288,-2.71691, Ludford - St Giles,blue
52.37206,-2.71301, Ludlow - St John,green
52.36819,-2.7189, Ludlow - St Laurence,green
52.46825,-2.95499, Lydbury North - St Michael and All Angels,blue
52.51327,-2.98032, Lydham - Holy Trinity,green
52.89061,-2.83736, Lyneal (Colmere) - St John the Evangelist,blue
52.63393,-2.45078, Madeley - St Michael,blue
52.78419,-3.0367, Maesbrook - St John,blue
52.82363,-3.02553, Maesbury - St John the Baptist,blue
